"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2025-10-17"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Housing estimates","Housing starts",,,,,
,,"Type of unit","Total units","Single-detached","Multiples","Semi-detached","Row","Apartment and other unit type"
"Geography","Seasonal adjustment","Reference period"
"Canada",,,"Units",,,,,
,,"Q3 2011","1,415","706","709","135","76","498"
,,"Q4 2011","933","505","428","100","89","239"
,,"Q1 2012","220","111","109","14","8","87"
,,"Q2 2012","1,132","629","503","219","98","186"
,,"Q3 2012","1,238","575","663","117","13","533"
,,"Q4 2012","709","382","327","76","43","208"
,,"Q1 2013","302","81","221","22","33","166"
,,"Q2 2013","865","361","504","98","40","366"
,,"Q3 2013","927","526","401","82","76","243"
,,"Q4 2013","749","408","341","88","26","227"
,,"Q1 2014","223","77","146","26","0","120"
,,"Q2 2014","508","287","221","100","11","110"
,,"Q3 2014","1,004","481","523","88","44","391"
,,"Q4 2014","541","347","194","60","15","119"
,,"Q1 2015","154","73","81","2","0","79"
,,"Q2 2015","434","252","182","34","65","83"
,,"Q3 2015","846","501","345","97","25","223"
,,"Q4 2015","561","293","268","24","55","189"
,,"Q1 2016","108","70","38","2","17","19"
,,"Q2 2016","508","300","208","44","21","143"
,,"Q3 2016","682","375","307","44","65","198"
,,"Q4 2016","540","288","252","40","105","107"
,,"Q1 2017","210","69","141","2","8","131"
,,"Q2 2017","506","280","226","72","48","106"
,,"Q3 2017","792","436","356","73","71","212"
,,"Q4 2017","816","395","421","75","67","279"
,,"Q1 2018","189","107","82","4","0","78"
,,"Q2 2018","586","269","317","70","72","175"
,,"Q3 2018","767","442","325","74","41","210"
,,"Q4 2018","786","337","449","54","60","335"
,,"Q1 2019","140","97","43","8","0","35"
,,"Q2 2019","847","224","623","74","85","464"
,,"Q3 2019","1,174","463","711","82","78","551"
,,"Q4 2019","774","380","394","44","65","285"
,,"Q1 2020","256","93","163","16","4","143"
,,"Q2 2020","684","206","478","78","38","362"
,,"Q3 2020","1,338","378","960","82","49","829"
,,"Q4 2020","1,205","330","875","90","73","712"
,,"Q1 2021","236","75","161","12","10","139"
