"Estimates of the components of natural increase, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0059-01 (formerly CANSIM 053-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Estimates","Births 3 4","Deaths 5 6"
"Geography","Reference period"
,,"Number",
,"Q4 2023","10,219","11,788"
,"Q1 2024","10,392","11,550"
,"Q2 2024","11,141","10,649"
,"Q3 2024","11,435","10,514"
,"Q4 2024","10,918","11,208"
,"Q1 2025","10,724","11,696"
,"Q2 2025","11,294","10,484"
"Yukon","Q1 2010","97","51"
,"Q2 2010","90","44"
,"Q3 2010","103","49"
,"Q4 2010","92","55"
,"Q1 2011","93","36"
,"Q2 2011","116","50"
,"Q3 2011","121","40"
,"Q4 2011","100","67"
,"Q1 2012","115","58"
,"Q2 2012","101","50"
,"Q3 2012","118","52"
,"Q4 2012","101","46"
,"Q1 2013","92","58"
,"Q2 2013","93","54"
,"Q3 2013","108","42"
,"Q4 2013","103","61"
,"Q1 2014","101","52"
,"Q2 2014","109","45"
,"Q3 2014","103","52"
,"Q4 2014","93","57"
,"Q1 2015","120","49"
,"Q2 2015","99","52"
,"Q3 2015","106","61"
,"Q4 2015","109","55"
,"Q1 2016","118","48"
,"Q2 2016","117","49"
,"Q3 2016","96","59"
,"Q4 2016","109","62"
,"Q1 2017","116","67"
,"Q2 2017","107","60"
,"Q3 2017","139","65"
,"Q4 2017","97","67"
,"Q1 2018","97","46"
,"Q2 2018","99","63"
,"Q3 2018","109","69"
,"Q4 2018","106","72"
,"Q1 2019","117","63"
,"Q2 2019","125","64"
,"Q3 2019","112","77"
,"Q4 2019","97","79"
,"Q1 2020","84","59"
,"Q2 2020","109","70"
,"Q3 2020","107","82"
,"Q4 2020","112","68"
,"Q1 2021","105","73"
,"Q2 2021","122","88"
,"Q3 2021","124","86"
,"Q4 2021","105","111"
,"Q1 2022","102","93"
,"Q2 2022","113","78"
,"Q3 2022","111","98"
,"Q4 2022","111","73"
,"Q1 2023","101","80"
,"Q2 2023","98","68"
,"Q3 2023","89","91"
,"Q4 2023","109","93"
,"Q1 2024","105","81"
,"Q2 2024","122","70"
,"Q3 2024","118","93"
,"Q4 2024","96","90"
,"Q1 2025","110","83"
,"Q2 2025","119","72"
"Northwest Territories including Nunavut (Terminated) 8","Q1 2010","..t","..t"
,"Q2 2010","..t","..t"
,"Q3 2010","..t","..t"
,"Q4 2010","..t","..t"
,"Q1 2011","..t","..t"
,"Q2 2011","..t","..t"
,"Q3 2011","..t","..t"
,"Q4 2011","..t","..t"
,"Q1 2012","..t","..t"
,"Q2 2012","..t","..t"
,"Q3 2012","..t","..t"
,"Q4 2012","..t","..t"
,"Q1 2013","..t","..t"
,"Q2 2013","..t","..t"
,"Q3 2013","..t","..t"
,"Q4 2013","..t","..t"
